Attenuation,Zero degree level(m),Rain height(km),R (mm/hr)
0.220934713,1161.1216,1.5211216,0.4
0.248254752,1349.9688,1.7099688,0.4
0.481438127,1280.3433,1.6403433,0.8
0.188174748,1376.3625,1.7363625,0.3
0.219486789,1666.3848,2.0263848,0.3
0.331683547,1927.3853,2.2873853,0.4
0.564229129,1844.867,2.204867,0.7
0.652984369,1868.7881,2.2287881,0.8
0.516493669,2000.7551,2.3607551,0.6
0.61427694,2041.6594,2.4016594,0.7
0.448844546,2108.9314,2.4689314,0.5
0.278836728,2216.7122,2.5767122,0.3
0,2223.967,2.583967,0
0,2208.8037,2.5688037,0
0,1986.6194,2.3466194,0
0,2530.3015,2.8903015,0
0,2680.17,3.04017,0
0,2797.3557,3.1573557,0
0,2668.6304,3.0286304,0
0,2664.5361,3.0245361,0
0,2666.3813,3.0263813,0
0,2830.1729,3.1901729,0
0,2844.7837,3.2047837,0
0,2700.5164,3.0605164,0
0,2643.2952,3.0032952,0
0,2308.7515,2.6687515,0
0,2553.621,2.913621,0
0,2543.0884,2.9030884,0
0,2296.4417,2.6564417,0
0,2110.2922,2.4702922,0
0,2086.1948,2.4461948,0
0,2234.0623,2.5940623,0
0.2713323,2147.0852,2.5070852,0.3
0.7369641,1872.4553,2.2324553,0.9
1.005819377,1738.7214,2.0987214,1.3
0.902372037,1681.3435,2.0413435,1.2
0.60679383,1710.1914,2.0701914,0.8
0.697989662,1538.2888,1.8982888,1
0.185628242,1352.7864,1.7127864,0.3
0,1255.4182,1.6154182,0
0,1249.8479,1.6098479,0
0,1131.1746,1.4911746,0
0,846.8113,1.2068113,0
0,772.1531,1.1321531,0
0,763.51953,1.12351953,0
0,759.4392,1.1194392,0
0,758.7151,1.1187151,0
0,782.23926,1.14223926,0
0,1016.7759,1.3767759,0
0,1107.5684,1.4675684,0
0,1218.2668,1.5782668,0
0,1340.446,1.700446,0
0,1429.8843,1.7898843,0
0,1320.4548,1.6804548,0
0,1006.56104,1.36656104,0
0,1033.4854,1.3934854,0
0,1037.4053,1.3974053,0
0,1034.1792,1.3941792,0
0,982.4365,1.3424365,0
0.152657778,1047.6897,1.4076897,0.3
0.210107388,1086.3137,1.4463137,0.4
0.275456108,1151.7673,1.5117673,0.5
0.228848923,1215.815,1.575815,0.4
0.107939002,1143.6277,1.5036277,0.2
0.051693265,1097.9084,1.4579084,0.1
0.100119079,1034.4304,1.3944304,0.2
0.099894805,1031.2991,1.3912991,0.2
0.099848601,1030.654,1.390654,0.2
0.049299236,1030.2742,1.3902742,0.1
0.100017733,1033.0154,1.3930154,0.2
0.151024155,1032.5803,1.3925803,0.3
0.152037105,1041.949,1.401949,0.3
0.198906156,1008.9441,1.3689441,0.4
0.255722644,1043.0474,1.4030474,0.5
0.308995741,1048.7646,1.4087646,0.6
0.31111241,1058.4568,1.4184568,0.6
0.284046364,1199.1096,1.5591096,0.5
0.193168447,1422.5999,1.7825999,0.3
0.199345195,1479.7998,1.8397998,0.3
0.554624225,1531.1973,1.8911973,0.8
0.972079983,1520.1707,1.8801707,1.4
0.889229528,1838.0505,2.1980505,1.1
0.614119435,1735.3369,2.0953369,0.8
0.431279953,1609.3667,1.9693667,0.6
1.877601906,1509.76,1.86976,2.7
1.596550233,1509.24,1.86924,2.3
1.252698248,1418.1921,1.7781921,1.9
1.042074755,1294.3662,1.6543662,1.7
0.974644023,1285.1465,1.6451465,1.6
1.157116717,1197.7424,1.5577424,2
1.367565409,997.60547,1.35760547,2.7
0.758036025,607.85913,0.96785913,2.1
0.395906836,401.51416,0.76151416,1.4
0.241239514,292.58252,0.65258252,1
0.176053824,237.29182,0.59729182,0.8
0.102321543,199.77661,0.55977661,0.5
0.066771295,254.44609,0.61444609,0.3
0.0204368,215.62398,0.57562398,0.1
0,181.54454,0.54154454,0
0.019566557,191.08627,0.55108627,0.1
0,233.95845,0.59395845,0
0,244.60953,0.60460953,0
0,281.96826,0.64196826,0
0.024132763,319.8557,0.6798557,0.1
0.13016689,352.5652,0.7125652,0.5
0.071609206,299.06006,0.65906006,0.3
0.065582079,243.48093,0.60348093,0.3
0.211467364,158.80334,0.51880334,1.1
0.096891592,80.067535,0.440067535,0.6
0.057169861,32.199234,0.392199234,0.4
0.027167281,17.486923,0.377486923,0.2
0,1.2982225,0.361298223,0
0,0.7389882,0.360738988,0
0,0.7389882,0.360738988,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
