timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130109T1100,1.1102455,0,100,0,16,0,0
20130109T1200,1.5302454,0,98,3,16,0,0
20130109T1300,1.9802454,0,98,11,18,0,0
20130109T1400,2.4702454,0,99,20,14,0,0
20130109T1500,2.3702455,0,100,44,13,0,0
20130109T1600,1.6402454,0,98,61,18,0,0
20130109T1700,1.4002454,0,98,84,14,0,0
20130109T1800,1.1202455,0,98,84,19,0,0
20130109T1900,1.0502454,0,98,87,18,0,0
20130109T2000,0.9202454,0,98,93,35,0,0
20130109T2100,0.9602454,0,98,97,45,0,0
20130109T2200,0.9002454,0,100,98,53,0,0
20130109T2300,0.9502454,0,99,95,67,0,0
20130110T0000,1.5002453,0,98,87,77,0,0
20130110T0100,1.6202455,0.2,100,92,88,0.092526842,0.127083157
20130110T0200,1.6802454,0.2,100,97,99,0.092526842,0.123073935
20130110T0300,1.6802454,0.3,99,94,100,0.092864647,0.17398707
20130110T0400,1.7102454,0.3,82,79,100,0.092864647,0.16225951
20130110T0500,1.7202454,0.2,73,69,99,0.092526842,0.1038132
20130110T0600,1.7302454,0.1,78,71,98,0.091952203,0.048437549
20130110T0700,1.8502454,0.1,75,82,98,0.091952203,0.01709734
20130110T0800,2.0102453,0.1,64,95,99,0.091952203,0.017706447
20130110T0900,2.3602452,0.1,32,94,94,0.091952203,0.017832031
20130110T1000,2.1602454,0.1,21,95,98,0.091952203,0.019273635
20130110T1100,2.4502454,0.1,14,87,99,0.091952203,0.020567126
20130110T1200,2.7002454,0.1,16,83,100,0.091952203,0.022217604
20130110T1300,3.1902456,0.1,23,71,98,0.091952203,0.039405091
20130110T1400,3.6502452,0,27,74,99,0,0
20130110T1500,3.7602453,0.1,72,65,99,0.091952203,0.032269141
20130110T1600,3.6502452,0.2,94,82,93,0.092526842,0.078747478
20130110T1700,3.6102452,0.2,96,94,90,0.092526842,0.079591327
20130110T1800,3.6902456,0.5,98,98,91,0.093291988,0.200009941
20130110T1900,3.6502452,0.5,98,99,93,0.093291988,0.134578544
20130110T2000,3.1302452,0.8,97,99,98,0.093686916,0.213151392
20130110T2100,3.3802452,0.9,98,99,98,0.093786146,0.241129003
20130110T2200,2.9502454,0.8,99,99,99,0.093686916,0.229009639
20130110T2300,3.2202454,0.7,100,100,99,0.093574544,0.215825819
20130111T0000,3.5702453,0.6,96,99,98,0.093444989,0.196771957
20130111T0100,3.7202454,0.7,75,99,99,0.093574544,0.231958947
20130111T0200,3.6602454,0.9,65,98,100,0.093786146,0.285101386
20130111T0300,3.6102452,1.1,65,99,100,0.093955451,0.344959601
20130111T0400,3.4702454,1.1,66,98,99,0.093955451,0.31994994
20130111T0500,3.3302455,0.8,63,96,98,0.093686916,0.223675319
20130111T0600,3.1702452,0.4,91,92,93,0.093105072,0.104183279
20130111T0700,3.2102456,0.2,70,89,88,0.092526842,0.048798447
20130111T0800,3.2802453,0,29,49,87,0,0
20130111T0900,3.2302456,0,4,22,69,0,0
20130111T1000,3.9502454,0,0,37,65,0,0
20130111T1100,4.1202455,0,0,65,62,0,0
20130111T1200,4.2502456,0,0,67,70,0,0
20130111T1300,4.400245,0,0,73,73,0,0
20130111T1400,4.5002456,0,0,76,71,0,0
