Location0,Location1,Location2
0.001577072,0.000905685,0.000512772
0.000520043,0.000581079,0.000456564
0.000402834,0.000280764,0.00015625
0.000246583,0.000246583,0.000214844
0.002082491,0.002509737,0.001052284
0.003122611,0.003244681,0.001686974
0.000327148,0.000449219,0.004929104
0.000561523,0.001293945,0.002968716
0.001055927,0.001162024,0.001495333
0.002227821,0.002227821,0.002815046
0.00046875,0.000621338,0.00147583
0.000183105,0.001250029,0.002783179
0.002406998,0.012202187,0.018908901
0.013008956,0.0473069,0.059437636
0.034472693,0.07554458,0.07648681
0.022232547,0.045468822,0.06817581
0.007783201,0.019592073,0.027722146
0.006330565,0.021313265,0.035180643
0.013019882,0.03349384,0.03355726
0.08099373,0.054292753,0.018810347
0.041598853,0.017339287,0.004367408
0.012888164,0.011972637,0.007673235
0.021247463,0.019157486,0.014191704
0.043010365,0.02912582,0.019812237
0.03065424,0.024428654,0.015742112
0.02403679,0.015324974,0.02148285
0.01134159,0.013964672,0.017785568
0.015160941,0.034323595,0.020187758
0.02333618,0.04997421,0.02835346
0.020360257,0.038469102,0.021202352
0.004468689,0.012784729,0.011209259
0.014409294,0.02322792,0.028984299
0.013359223,0.025717888,0.027609978
0.020054244,0.05041542,0.051891707
0.03482441,0.05673317,0.04771713
0.023139343,0.029912338,0.018068656
0.013527565,0.017983131,0.010657005
0.029599417,0.031384695,0.013550986
0.052929457,0.046368178,0.01819187
0.04832916,0.050845906,0.021274373
0.023275603,0.03354286,0.011474837
0.005538368,0.014265442,0.003438377
0.005976753,0.011499481,0.002028541
0.011247862,0.00976776,0.005747069
0.011908986,0.010566212,0.006611325
0.007389297,0.006992569,0.006126632
0.005339661,0.006941834,0.005638161
0.004519024,0.006975212,0.004500904
0.004723892,0.006982193,0.003244743
0.004041653,0.006788235,0.002042275
0.002959099,0.004834976,0.001667347
0.001913986,0.003073654,0.001396379
0.001267042,0.002182569,0.001247492
0.001171918,0.001965375,0.001066895
0.000964355,0.001635742,0.001103473
0.0072628,0.007506941,0.004687879
0.11171104,0.09401275,0.047729034
0.05213169,0.022348441,0.00714592
0.054597165,0.027714994,0.012481
0.10202568,0.071786575,0.040563278
0.19417313,0.14650849,0.07737091
0.23112744,0.21327847,0.14222592
0.30421752,0.2591812,0.19761962
0.34890914,0.30344176,0.246557
0.285271,0.24209243,0.19718963
0.2742427,0.23170501,0.19551116
0.21783406,0.19534451,0.1850124
0.25114012,0.2891612,0.30594587
0.19741696,0.22747296,0.25719708
0.20383465,0.18491375,0.18688595
0.16148895,0.15323395,0.1565451
0.08124229,0.09097549,0.06189224
0.07999405,0.09110245,0.07993302
0.046420287,0.046420287,0.035155486
0.07112793,0.052683868,0.032853164
0.08480011,0.07762848,0.050299987
0.085549474,0.084239125,0.057755586
0.090920866,0.086755216,0.05802673
0.1042746,0.096006244,0.065547794
0.19360992,0.12248108,0.09437439
0.06652634,0.088008806,0.035402223
0.04852436,0.048310738,0.020902138
0.026747435,0.038845748,0.03652069
0.012721958,0.014477672,0.01861948
0.06459808,0.048439026,0.03228569
0.016691856,0.015869312,0.011830978
0.008798867,0.002971201,0.002468376
0.030144157,0.017663421,0.00969738
0.023242187,0.024066161,0.0232131
0.02356432,0.015371303,0.012414436
0.053554498,0.030836068,0.020888291
0.04026161,0.04114662,0.022278175
0.05651848,0.010151787,0.004758759
0.015655287,0.025466688,0.029822119
0.012655027,0.016729124,0.017505415
0.062946245,0.053123396,0.027868193
0.072111815,0.038972583,0.037529673
0.10155319,0.036846388,0.017894972
0.1554506,0.13381745,0.066251524
0.21582259,0.23929061,0.2427124
0.091270745,0.13165694,0.24598342
0.09977442,0.11021143,0.17644984
0.09115249,0.13414794,0.14468032
0.05430786,0.079225466,0.12407486
0.07465347,0.10095581,0.15264878
0.012885284,0.013129424,0.014838409
0.028824996,0.018481445,0.025830459
0.044098813,0.036058385,0.034550626
0.026222304,0.030098036,0.025335386
0.036138535,0.028326035,0.0313015
0.036903914,0.010874327,0.03684097
0.046335142,0.020732801,0.022709768
0.042677917,0.03460697,0.049355544
0.027329445,0.02516365,0.059814453
0.02032936,0.014958267,0.041406516
0.020209655,0.018150672,0.027559623
0.023425102,0.0222044,0.043581486
0.027206648,0.014940489,0.027012099
0.046171606,0.03662151,0.04472202
0.10757805,0.06500984,0.07762695
0.19630784,0.13942689,0.15535706
0.16357574,0.13510284,0.1697937
0.07703865,0.051894072,0.10360039
0.03287689,0.022806091,0.07015602
0.020488739,0.007396698,0.03501892
0.019943772,0.004045067,0.016012726
0.021887474,0.003547363,0.014550857
0.020314828,0.014821663,0.02040781
0.040432356,0.028378867,0.031921767
0.026308974,0.00378891,0.008161507
0.057913434,0.018211972,0.022837292
0.15248688,0.069089964,0.061361387
0.22959228,0.15455718,0.15347
0.18221557,0.16567886,0.21694839
0.12556793,0.10808517,0.17472793
0.11097759,0.092213094,0.15272945
0.088190615,0.08306366,0.16822678
0.08112846,0.045424804,0.13717018
0.08387847,0.03774162,0.09703155
0.0711142,0.040295254,0.106236115
0.04440422,0.040070724,0.07227059
0.049462736,0.027781904,0.03512615
0.052248687,0.030856818,0.028318137
0.050781325,0.04696758,0.0411845
0.021823652,0.01871086,0.02631355
0.019201886,0.00730003,0.008444916
0.026904467,0.014362697,0.008640174
0.012597704,0.013574267,0.013562107
0.000799503,0.002401199,0.007886972
0.000169649,0.00041379,0.001673594
0.00120604,0.000900865,0.001386732
0.015427455,0.02430664,0.029191837
0.023212623,0.046037864,0.061208915
0.009277725,0.0203537,0.03523483
0.00436157,0.008465469,0.012292564
