timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130109T0800,-0.48975456,0,97,0,20,0.03890304128
20130109T0900,0.050245404,0,99,0,17,0.02960321894
20130109T1000,0.4202454,0,98,0,18,0.04390982729
20130109T1100,1.1102455,0,100,0,16,0.03689095186
20130109T1200,1.5302454,0,98,3,16,0.06665523385
20130109T1300,1.9802454,0,98,11,18,0.1314832957
20130109T1400,2.4702454,0,99,20,14,0.1367526335
20130109T1500,2.3702455,0,100,44,13,0.1351937859
20130109T1600,1.6402454,0,98,61,18,0.150149406
20130109T1700,1.4002454,0,98,84,14,0.1495499634
20130109T1800,1.1202455,0,98,84,19,0.1380175529
20130109T1900,1.0502454,0,98,87,18,0.1308504016
20130109T2000,0.9202454,0,98,93,35,0.1352968833
20130109T2100,0.9602454,0,98,97,45,0.1115447644
20130109T2200,0.9002454,0,100,98,53,0.1238775754
20130109T2300,0.9502454,0,99,95,67,0.07857321506
20130110T0000,1.5002453,0,98,87,77,0.04040096353
20130110T0100,1.6202455,0.2,100,92,88,0.04825977118
20130110T0200,1.6802454,0.2,100,97,99,0.07461643606
20130110T0300,1.6802454,0.3,99,94,100,0.08721792787
20130110T0400,1.7102454,0.3,82,79,100,0.07182380719
20130110T0500,1.7202454,0.2,73,69,99,0.0696839071
20130110T0600,1.7302454,0.1,78,71,98,0.08516785973
20130110T0700,1.8502454,0.1,75,82,98,0.08827350949
20130110T0800,2.0102453,0.1,64,95,99,0.08036426007
20130110T0900,2.3602452,0.1,32,94,94,0.06765082826
20130110T1000,2.1602454,0.1,21,95,98,0.05095062726
20130110T1100,2.4502454,0.1,14,87,99,0.04230817709
20130110T1200,2.7002454,0.1,16,83,100,0.03659847236
20130110T1300,3.1902456,0.1,23,71,98,0.03524432809
20130110T1400,3.6502452,0,27,74,99,0.03437449745
20130110T1500,3.7602453,0.1,72,65,99,0.02600796501
20130110T1600,3.6502452,0.2,94,82,93,0.01814201122
20130110T1700,3.6102452,0.2,96,94,90,0.01602059877
20130110T1800,3.6902456,0.5,98,98,91,0.01771458369
20130110T1900,3.6502452,0.5,98,99,93,0.01467236195
20130110T2000,3.1302452,0.8,97,99,98,0.01139198743
20130110T2100,3.3802452,0.9,98,99,98,0.004614458927
20130110T2200,2.9502454,0.8,99,99,99,0.006730081746
20130110T2300,3.2202454,0.7,100,100,99,0.004258467171
20130111T0000,3.5702453,0.6,96,99,98,0.002190093931
20130111T0100,3.7202454,0.7,75,99,99,0.002087772179
20130111T0200,3.6602454,0.9,65,98,100,0.002595246501
20130111T0300,3.6102452,1.1,65,99,100,0.00274762641
20130111T0400,3.4702454,1.1,66,98,99,0.002735634922
20130111T0500,3.3302455,0.8,63,96,98,0.002973893421
20130111T0600,3.1702452,0.4,91,92,93,0.00285243062
20130111T0700,3.2102456,0.2,70,89,88,0.002469860689
20130111T0800,3.2802453,0,29,49,87,0.002010993236
20130111T0900,3.2302456,0,4,22,69,0.002280464802
20130111T1000,3.9502454,0,0,37,65,0.01389509639
20130111T1100,4.1202455,0,0,65,62,0.01852754777
